response,context,context/0,context/1,context/2,context/3,context/4,context/5
Haha then take knife go up kill them all lo lol hai hao leh theaverage is around lol,Haha then u shld Chen ji nap Wa finish half le lo so fast Lolanother term test out le lo I got DECIMAL haha jia youle,Haha so poor thing T T later evening nap a while lo sob sob sob so early do assignment lol then can finish early lol haha paternalI gonna nap a while in school,Lol both night owl sure die haha I overslept on the mrt and goback one station lo Sianz super late le Lol,Wa jia liat T T I really xing teng for u I am serious about tmlu can come my house sleep leh lol anyway I no school,Dunno leh lol stupid lo install loft there dunno for wat literally nobody take one then how sia u sure lack of sleep oneT T tml I can come my house early to sleep lol,Lol wa so ke lian it must go on for a month sia where got sell ear plug lol,Haha okie hao de good night
xy So how later meeting U meeting yj later I got a feeling tomw i cant meet u all,U join us la Anyway we r doing social activities,That mean activity that is not romantic la U sure u don wan to join Then wat u doing,xy Can i just meet u then u send me bugis or suntec then u go meet her,xy Need buy clothes my cousin wedding this sunday lah haiz,xy Today no need lah Initially plan meet her tomw then now got william bday then i got work also also duno how,xy Dont wan lah let u all go pai tuo i just shop myself U any time also ready is it,Told zai 30 but we all meet at in town Shall we eat genki at meridian hotel
Me too But dun want another extreme church la So pek chek,Yup I think the elders are split la Some want to get more young pplno matter the cost,Ya Gospel rally is always targeting the young Haha,Lol Whatever lor Maybe they feel a need to lock them down young Before they leave for greener pastures haha,I feel like changing church haha,Ok Aiya he s getting married ma,Hm Should be haha,Hi I m outside Sr1 Near the undergradoffice
U going it show buying anything,Btw i send email about in engine read thru liao then choose urtopic if everything is ok with u,R the yr4s leaving anytime soon i got eg lecture at haha,Icic u let me noe when they have left sch i shld be in sch quiteearly too thanx,Can meet u for a while i show u my paypal acc page can haha,Wat time r u coming to sch tml,U going it show tml,Haha so funny i m using the service alr leh u choose urpayment method in paypal as bank topup or debit card
Haha Where got so fast lose weight thk muz go a month den got effect Gee later we go aust put bk e weight,t go haha Cz i got something on sat I told cindy already,t send u home On second tots betta not Wasted Oh N erm Not tellin,Y not going to sentosa tmr,Hey ger free tomorrow wana cheong,s tue noe Okie la Cant wait nxt wk haha cos last wk of work,Lor marzuki 51a Eunos exit turn right go straight den turn left after the corner temple Turn left to lor marzuki,m going for e class thing tml Help me wish joanna happy bday k Hee
Cannot My hands don t switch fast enough,Where izzit No swimming though,Yea set Excited alr,Yea but need chiong I 3pm got Pe,I went yest Lols this Thursday mayb,Lols tts the pinky bro I knew I also suck at all Sianz when cca start,Not physics Eh hav u been training,Serious I hate chem My worst subject now
Haha I entertain you on phone eh Lol thought you were jumping just now,Yeah that s why shiok mah Now no rain le,Haha nope eh I went out cycling Haiz emotional eh,Haha I was eh You saw my message,Hah im online leh I saw the guy s picture lol,Hahaha dont scared la haha show only,Haha jumping again eh Lol now where got excitement watching it during day,Haha slowly stroll home eh Some more raining leh haha
Haha I was just passing e msg for her Ok noted Will let her know Hope you have a great day,t forget me too,Hi They not going tonite cos they have a morning class tmw Think i wont be going either Have fun,R u done at e medical My bro say can rec u for other positions Ask u wat u r interest in and wat u r not,Hey Call me when u r done,I spent money Emphasis on sale Stuff are and percent off But lucky dont have e one u bought for me Haha,hi Can you send me a copy of the correct diagram and first question for this week tutorial Thanks,Hi Can u send me the correct diagram for tut Thanks
Reached home le Mug mug Laogong u really very wonderful leh Tmr IMuz hug u more,Meet at which part of lot one,Hee But mouth still cannot say haven reach his level yet,Mummy we haven t eat yet But later got free food to eat Hee,Wed 2pm u can make it For consultation with the prof,Haha Nvm le I gave another number Meet up soon,Yo I put ur name for aia insurance recommendation hor,Anything also can u taking bus back to interchange
HAHA YOUR ROOM DAMN SUAY MY ROOM DUN HAVE ANYTHING LIKE THAT HAHAHAOMG THEY ARE SOO SMART SLAP THEM,LOL Who is it I m very curious now coz he say he know who I am o ooh good right haha then he won t jio me P haha cool I won t dare todo that de Haha nice I m not concentrating hehe,Got compre aq and essay Haha I do very badly for aq de x x haha yayokay I hope lcs doesn t mess with my eng module again _ Haha wow lastmin ah nice haha Chinese was a little weird hahaha then chem was soso How was yours,Haha until then ah P now must make full use of available time Heehee Ooo cool but won t get lost meh Haha omg how did youdescribe me sia or he just kidding around with you,Haha coz you keep staying in my mind cannot concentrate haha No lahit s alright if I dun talk to you also will feel uneasy haha Oh as inhow did you go msia Haha I did lah just with my dad s car insteadhaha P,Haha I just woke up P I think I really just stayed calm throughouttoday ah haha P except a few moments where you keep popping into myhead haha ooo so you took sbs bus in is it so interesting haha Inever did that before P haha Of course,Haha on second thought no hahaha dun want Haha nice So how was yourday Haha i m having headache going to sleep until roll call,Haha I was using msia number rmb Haha icic okay next time if you gooverseas then I know can sms you bah Haha I just started x haha Ithink everyone die together bah Haha ooo icic haha what movie Let sgo watch LOL
I think 3pm today would be good,Can we meet at 3pm I am sick going to see a doctor,dbs savings savings plus,hi i may have smthg on at ten Can i call u later,ll be mtg for CG at 30 pm this thursday Pse revert tks,So sorry bro will be min late am on the MRT right now,m going back too tks,U try call me
Haha Yah I trying to find suitable slots,Hi everyone anybody interested to talk,Hey fen Thanx e shirt Had a nice time catchin up w u tonite Haha b optimistic la ur relationship will last,Wha u gd lor enjoying urself me almost going crazy staying at home hv keep think of things do Then u yest no need teach piano,Ok juz for coffee rite,t turned u off Hav i U free later tonight Its a chore to sms,Then u create one lor,Im not married wat Of cuz single la Hh Eh m goin to slp ordi Good nte
Ok u gave me a handwrap long ago but i dun noe put where liao soi tinking of buying one myself other than liang seng u noe whereelse got sell,skipping rope speed bag and sand bag oso can,Can i go to ur hse during weekdays daytime when u r working to useur gym room,We just leaving lck,Just finish burning paper,or i not too sure,Inside v hard to park no jam on the jalan bahar justreach ssetting food,At lim chu kang
I think si I haven do Must ask how to use excel next time Happy new year to too I ask ard n confirm wif the date,We eating ur fave crabs tonite,Hey i help book liao Friday 11th dont forget ah,Sms my hp now,go buy bread talk later lar Help me buy bak gua bread i thk today still got dollar,I haven given millian e oil yet U give ah,can call ask for interview got the no stil,Hey i having trouble with e stocks qn leh Can do it
Ok la so u better than average kWh x x x joules which is a unit of energy,Sorry for the late reply Was giving tuition Dinner very short onela but nvm,hmm actually me too Then in that case can I ask u out for dinner,Hi do u normally study alone or with friends,Ah very easy la we see how lor,I come at on monday pass u the parts n where to mask,Nvm nothing already Needed help registering for the automation project,Call me when u reached dl
Yo d My friends wanna go lkp this sat what time does the Indianstall sell prata,Haha it s the am dc,Hihi Can I trouble you to check if I m awake when you reach sch tmr Sorry There s no one in the room P,Oh dinner is fine I just got your message haha Call if youwant bah I did a very malu thing haha,I wanna cry I really did lose alot of hair,I feel like I just lost a significant amount of hair Home yet,Haha what thing dunno true or not Haha maybe your phone thought it sa website Haha tmr I need to be back in sch by I think Or I haveto go direct to ayer rajah cc,O o icic Haha well they re getting married so Anything ispossible Hahaha I didn t feel like going at sp
Okay call us when reach My drivin is at tmr have lessons Or only one,U forgot to gif millian his dog bone Later his tooth ache,Wat is tht u gt other hp num is is tht u oh my,Today went strawberry farm lavendar farm and winery I bought bottles of wine Gee,Anything lor Today can oso,I thk tonite cannot Another day,s y nd to pay lor,formal Hm Where hear from Oh no Mon i got tuition Do you know whats the plan for the day
Busy bee Both is fine really See what time you meeting your proflor Let us know,Hmmmm let s seee wed afternoon then,Hmmm okay then wed afternoon around Where you wanna go for lunch,Nooo how can you not go for your appointment,Ahh Friday is fine too Shaf suggested wed since it s our free days,Lol she says what about Friday,Joce Are you free next wed,Ahha okay I ll ask joce
